"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Mannen","Totaal","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.633596043888116,62.0985412103878,6471,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.767865483418963,39.7321821602264,53525,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.424891375132111,128.229985767662,93671,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.487119112772124,99.8075532069039,172853,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Totaal","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.710449713517198,75.1351697666577,434232,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Totaal","Totaal","wo","c00_infant_mortality",0.444068219980294,130.033329111706,72061,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Totaal","Totaal","hbo","c00_infant_mortality",0.509729947154528,100.491559067472,144194,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.704592391835458,77.1335339355058,306986,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.65359477124183,90.9494099731036,2142,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.484330484330484,67.068145457007,3510,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.68006800680068,44.4734929895408,19998,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.428011108248161,131.24039875176,69858,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Zonder migratieachtergrond","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.499477043266665,101.330610449767,140547,"parents_edu","Zuigelingensterfte",NA,NA,NA
